contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,expiry
TSLA250808C00305000,2025-08-01 19:59:59+00:00,305.0,7.05,7.0,7.1,-3.5999994,-33.802814,26967.0,2011,0.4904836108398438,False,2025-08-08
TSLA250808C00307500,2025-08-01 19:59:49+00:00,307.5,6.0,5.9,6.0,-3.25,-35.135136,12809.0,1677,0.48694360717773444,False,2025-08-08
TSLA250808C00310000,2025-08-01 19:59:55+00:00,310.0,4.99,4.95,5.05,-2.9900002,-37.468674,43818.0,4210,0.4854787780761719,False,2025-08-08
TSLA250808C00312500,2025-08-01 19:59:38+00:00,312.5,4.2,4.1,4.2,-2.75,-39.568348,16524.0,2690,0.4831594653320313,False,2025-08-08
TSLA250808C00315000,2025-08-01 19:59:59+00:00,315.0,3.41,3.4,3.45,-2.49,-42.203392,26032.0,7548,0.4802298071289062,False,2025-08-08
TSLA250808C00317500,2025-08-01 19:59:46+00:00,317.5,2.82,2.8,2.83,-2.18,-43.600002,13177.0,3007,0.47949739257812496,False,2025-08-08
TSLA250808C00320000,2025-08-01 19:59:53+00:00,320.0,2.3,2.28,2.32,-1.8999999,-45.238094,31669.0,10229,0.4802298071289062,False,2025-08-08
TSLA250808C00322500,2025-08-01 19:59:09+00:00,322.5,1.89,1.87,1.9,-1.61,-46.0,7019.0,4924,0.4820608435058594,False,2025-08-08
TSLA250808C00325000,2025-08-01 19:59:57+00:00,325.0,1.54,1.53,1.56,-1.4100001,-47.79661,13427.0,10472,0.4852346398925781,False,2025-08-08
TSLA250808C00327500,2025-08-01 19:59:59+00:00,327.5,1.26,1.25,1.28,-1.3199999,-51.162792,4619.0,2460,0.4888967126464845,False,2025-08-08
TSLA250808C00330000,2025-08-01 19:59:52+00:00,330.0,1.05,1.03,1.05,-1.1000001,-51.162796,19532.0,9252,0.4929249926757813,False,2025-08-08
TSLA250808C00332500,2025-08-01 19:59:56+00:00,332.5,0.85,0.85,0.88,-0.9499999,-52.777775,4409.0,2307,0.500005,False,2025-08-08
TSLA250808C00335000,2025-08-01 19:58:23+00:00,335.0,0.71,0.71,0.73,-0.79,-52.66667,9663.0,5039,0.5041553491210937,False,2025-08-08
TSLA250808C00337500,2025-08-01 19:59:35+00:00,337.5,0.6,0.6,0.61,-0.72,-54.545456,3851.0,1797,0.5112353564453125,False,2025-08-08
TSLA250808C00340000,2025-08-01 19:59:56+00:00,340.0,0.51,0.5,0.52,-0.58000004,-53.21101,9585.0,8631,0.5188036401367188,False,2025-08-08
TSLA250808C00342500,2025-08-01 19:57:33+00:00,342.5,0.44,0.43,0.45,-0.52,-54.166668,1407.0,4212,0.5283250292968751,False,2025-08-08
TSLA250808C00345000,2025-08-01 19:59:52+00:00,345.0,0.38,0.37,0.39,-0.42000002,-52.500004,11714.0,5938,0.5376022802734376,False,2025-08-08
TSLA250808C00347500,2025-08-01 19:59:42+00:00,347.5,0.32,0.32,0.34,-0.40000004,-55.555557,912.0,1589,0.5473678076171876,False,2025-08-08
TSLA250808C00350000,2025-08-01 19:59:44+00:00,350.0,0.29,0.29,0.3,-0.31000003,-51.66667,8701.0,7839,0.5590864404296876,False,2025-08-08
TSLA250808C00352500,2025-08-01 19:56:56+00:00,352.5,0.26,0.25,0.26,-0.29000002,-52.727276,844.0,1412,0.567387138671875,False,2025-08-08
TSLA250808C00355000,2025-08-01 19:59:44+00:00,355.0,0.23,0.22,0.24,-0.23,-50.0,2058.0,2500,0.579105771484375,False,2025-08-08
TSLA250808C00357500,2025-08-01 19:58:26+00:00,357.5,0.21,0.2,0.21,-0.2,-48.780487,536.0,828,0.5898478515625001,False,2025-08-08
TSLA250808C00360000,2025-08-01 19:59:34+00:00,360.0,0.19,0.18,0.19,-0.17000002,-47.222225,2721.0,4631,0.6015664843750002,False,2025-08-08
TSLA250808C00362500,2025-08-01 19:55:59+00:00,362.5,0.18,0.16,0.18,-0.16,-47.058823,191.0,640,0.6132851171875001,False,2025-08-08
TSLA250808C00365000,2025-08-01 19:59:32+00:00,365.0,0.16,0.15,0.16,-0.120000005,-42.857143,1601.0,2091,0.6250037500000001,False,2025-08-08
TSLA250808C00367500,2025-08-01 19:21:34+00:00,367.5,0.15,0.14,0.15,-0.13,-46.42857,109.0,515,0.63867548828125,False,2025-08-08
TSLA250808C00370000,2025-08-01 19:58:19+00:00,370.0,0.13,0.12,0.13,-0.120000005,-48.0,948.0,2578,0.6445348046875,False,2025-08-08
TSLA250808C00372500,2025-08-01 19:58:53+00:00,372.5,0.12,0.11,0.12,-0.1,-45.454548,849.0,372,0.6552768847656252,False,2025-08-08
TSLA250808C00375000,2025-08-01 19:58:19+00:00,375.0,0.11,0.11,0.12,-0.08,-42.105263,1444.0,1916,0.6738313867187502,False,2025-08-08
TSLA250808C00380000,2025-08-01 19:58:15+00:00,380.0,0.09,0.09,0.1,-0.06999999,-43.749996,1930.0,2961,0.6914093359375001,False,2025-08-08
TSLA250808C00385000,2025-08-01 19:34:41+00:00,385.0,0.08,0.07,0.09,-0.049999997,-38.461536,1101.0,1100,0.710940390625,False,2025-08-08
TSLA250808C00390000,2025-08-01 19:45:05+00:00,390.0,0.07,0.06,0.07,-0.04,-36.363636,510.0,1158,0.726565234375,False,2025-08-08
TSLA250808C00395000,2025-08-01 19:39:43+00:00,395.0,0.06,0.05,0.07,-0.030000005,-33.333336,126.0,1181,0.75195560546875,False,2025-08-08
TSLA250808C00400000,2025-08-01 19:58:20+00:00,400.0,0.05,0.05,0.06,-0.040000003,-44.444447,2742.0,5918,0.7753928710937501,False,2025-08-08
TSLA250808C00405000,2025-08-01 19:17:10+00:00,405.0,0.04,0.04,0.05,-0.030000001,-42.857143,394.0,532,0.789064609375,False,2025-08-08
TSLA250808C00410000,2025-08-01 19:31:46+00:00,410.0,0.05,0.03,0.05,-0.009999998,-16.666664,2464.0,5805,0.8085956640624999,False,2025-08-08
TSLA250808C00415000,2025-08-01 19:30:17+00:00,415.0,0.08,0.03,0.04,0.029999997,59.999996,431.0,1065,0.8242205078124999,False,2025-08-08
TSLA250808C00420000,2025-08-01 19:52:53+00:00,420.0,0.03,0.03,0.04,-0.01,-25.0,219.0,1817,0.851563984375,False,2025-08-08
TSLA250808C00425000,2025-08-01 19:50:08+00:00,425.0,0.04,0.03,0.04,0.01,33.333336,1454.0,1455,0.8828136718749999,False,2025-08-08
TSLA250808C00430000,2025-08-01 19:48:01+00:00,430.0,0.02,0.02,0.03,0.0,0.0,2627.0,2969,0.8789074609374999,False,2025-08-08
TSLA250808C00435000,2025-08-01 18:33:59+00:00,435.0,0.02,0.01,0.02,0.0,0.0,579.0,383,0.867188828125,False,2025-08-08
TSLA250808C00440000,2025-08-01 19:43:13+00:00,440.0,0.02,0.01,0.02,0.0,0.0,752.0,685,0.8906260937499999,False,2025-08-08
TSLA250808C00445000,2025-08-01 18:48:07+00:00,445.0,0.02,0.01,0.03,0.01,100.0,4719.0,555,0.937500625,False,2025-08-08
TSLA250808C00450000,2025-08-01 19:36:31+00:00,450.0,0.02,0.01,0.02,0.01,100.0,8011.0,1710,0.937500625,False,2025-08-08
TSLA250808C00455000,2025-08-01 16:03:34+00:00,455.0,0.02,0.01,0.02,0.0,0.0,6872.0,837,0.9609378906249999,False,2025-08-08
TSLA250808C00460000,2025-08-01 15:32:35+00:00,460.0,0.02,0.01,0.02,0.01,100.0,474.0,1370,0.98437515625,False,2025-08-08
TSLA250808C00465000,2025-08-01 15:50:23+00:00,465.0,0.02,0.01,0.02,0.01,100.0,56.0,6789,1.0078174609375,False,2025-08-08
TSLA250808C00470000,2025-08-01 15:05:08+00:00,470.0,0.01,0.01,0.02,0.0,0.0,335.0,569,1.0312548437500002,False,2025-08-08
TSLA250808C00480000,2025-08-01 18:27:03+00:00,480.0,0.01,0.01,0.02,0.0,0.0,969.0,670,1.0781296093750001,False,2025-08-08
