contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,moneyness,iv_oi_ratio,volume_oi_ratio,mid_price,expiry,time_to_expiry,price_residual,is_mispriced
TSLA250829C00310000,2025-08-01 15:22:07+00:00,310.0,14.4,14.4,14.55,-2.0,-12.195122,628,1248,0.4477594287109374,False,0.0066242648445437,0.0003587815906435,0.5032051241730359,14.475,2025-08-29,0.073972602739726,147.39903,1
TSLA250829C00315000,2025-08-01 15:21:00+00:00,315.0,12.4,12.35,12.5,-1.6500006,-11.743776,546,1426,0.4505670178222656,False,0.0228601400839719,0.000315965648431,0.3828891978759523,12.425,2025-08-29,0.073972602739726,210.1753,1
TSLA250829C00320000,2025-08-01 15:22:36+00:00,320.0,10.5,10.45,10.6,-1.5200005,-12.645594,706,3086,0.4506890869140625,False,0.0390960153234,0.000146043125552,0.2287751126740922,10.525,2025-08-29,0.073972602739726,558.0437,1
TSLA250829C00325000,2025-08-01 14:53:34+00:00,325.0,8.9,8.9,9.0,-1.4000006,-13.592238,635,1604,0.4529473651123047,False,0.0553318905628281,0.00028238613609,0.3958852843149296,8.95,2025-08-29,0.073972602739726,235.82799,1
TSLA250829C00330000,2025-08-01 15:22:27+00:00,330.0,7.5,7.5,7.65,-1.1000004,-12.790702,964,2385,0.4566704724121094,False,0.0715677658022562,0.0001914760882588,0.4041928704226714,7.575,2025-08-29,0.073972602739726,342.789,1
TSLA250829C00335000,2025-08-01 15:07:17+00:00,335.0,6.55,6.35,6.45,-1.0,-13.245032,129,1430,0.4591728887939453,False,0.0878036410416844,0.000321099919988,0.0902097895789525,6.4,2025-08-29,0.073972602739726,317.3189,1
TSLA250829C00340000,2025-08-01 15:19:34+00:00,340.0,5.25,5.35,5.45,-0.9499998,-15.322578,297,1589,0.46289599609375,False,0.1040395162811125,0.0002913127710387,0.1869100051169918,5.4,2025-08-29,0.073972602739726,314.97534,1
TSLA250829C00345000,2025-08-01 15:24:34+00:00,345.0,4.55,4.55,4.6,-0.7999997,-14.953265,3222,1340,0.46680220703125,False,0.1202753915205406,0.0003483598533937,2.404477593996436,4.574999999999999,2025-08-29,0.073972602739726,14.07437,1
TSLA250829C00350000,2025-08-01 15:24:55+00:00,350.0,3.85,3.8,3.9,-0.5500002,-12.500004,893,2848,0.471684970703125,False,0.1365112667599687,0.0001656197222777,0.3135533696855569,3.85,2025-08-29,0.073972602739726,471.90982,1
TSLA250829C00355000,2025-08-01 15:17:23+00:00,355.0,3.14,3.2,3.25,-0.6099999,-16.266665,385,674,0.4740042834472656,False,0.1527471419993969,0.0007032704397842,0.5712166087356586,3.225,2025-08-29,0.073972602739726,97.05953,1
